Furniture Name	Y/N	Quality	Crafting Station	Category	Mat1	Q1	MatPrice1	Mat2	Q2	MatPrice2	Mat3	Q3	MatPrice3	Mat4	Q4	MatPrice4	Mat5	Q5	MatPrice5	Mat6	Q6	MatPrice6	Rarity Bonus	Total	Rounded Total
Alchemical Apparatus, Condenser		Legendary	Alchemy	Workshop	Alchemical Resin	13	30	Regulus	15	100	Ochre	9	15	Tempered Brass	2	1,500							10000	15025	16000
Alchemical Apparatus, Master		Legendary	Alchemy	Workshop	Alchemical Resin	13	30	Regulus	15	100	Ochre	9	15	Mundane Rune	11	1200	Tempered Brass	2	1500				10000	28225	29000
Alinor Amphora, Delicate		Fine	Provisioning	Hearth	Decorative Wax	5	750	Mundane Rune	5	1200	Ochre	4	15	Culanda Lacquer	1	3500	Flour	20	60				1000	15510	16000
Alinor Amphora, Embossed		Superior	Provisioning	Hearth	Decorative Wax	7	750	Regulus	6	100	Culanda Lacquer	1	3500	Bervez Juice	6	150							2000	12250	13000
Alinor Amphora, Portrait		Superior	Provisioning	Hearth	Decorative Wax	9	750	Mundane Rune	5	1200	Ochre	6	15	Culanda Lacquer	1	3500	Bervez Juice	6	150				2000	19240	20000
Alinor Amphora, Slender		Epic	Provisioning	Hearth	Decorative Wax	10	750	Mundane Rune	8	1200	Ochre	7	15	Culanda Lacquer	2	3500	Frost Mirriam	3	70				5000	29415	30000
Alinor Ancestor Clock, Celestial		Legendary	Jewelry	Gallery	Ochre	10	15	Mundane Rune	11	1200	Decorative Wax	9	750	Heartwood	15	1200	Culanda Lacquer	2	3500	Chromium Plating	1	310000	10000	365100	366000
Alinor Archway, Tall		Superior	Enchanting	Structures	Mundane Rune	9	1200	Regulus	5	100	Ochre	5	15	Culanda Lacquer	1	3500	Denata	6	8				2000	16923	17000
Alinor Archway, Timeworn		Superior	Enchanting	Structures	Mundane Rune	10	1200	Alchemical Resin	7	30	culanda Lacquer	1	3500	Denata	6	8							2000	17758	18000
Alinor Armchair, Backless Polished		Superior	Woodworking	Dining	Heartwood	9	1200	Decorative Wax	6	750	Culanda Lacquer	1	3500	Turpen	6	30							2000	20980	21000
Alinor Armchair, Backless Verdant		Epic	Woodworking	Dining	Heartwood	12	1200	Bast	9	30	Decorative Wax	7	750	Culanda Lacquer	2	3500	Mastic	3	1500				5000	36420	37000
Alinor Armchair, Noble		Epic	Woodworking	Dining	Heartwood	12	1200	Decorative Wax	9	750	Ochre	7	15	Culanda Lacquer	2	3500	Mastic	3	1500				5000	37755	38000
Alinor Armchair, Overhang		Epic	Woodworking	Dining	Heartwood	13	1200	Decorative Wax	10	750	ochre	7	15	Culanda Lacquer	2	3500	Mastic	3	1500				5000	39705	40000
Alinor Armchair, Polished		Superior	Woodworking	Dining	Heartwood	10	1200	Decorative Wax	6	750	Culanda Lacquer	1	3500	Turpen	6	30							2000	22180	23000
Alinor Bed, Canopy Full		Epic	Woodworking	Suite	Heartwood	13	1200	Bast	11	30	Decorative Wax	6	750	Culanda Lacquer	2	3500	Mastic	3	1500				5000	36930	37000
Alinor Bed, Levitating		Legendary	Clothing	Suite	Mundane Rune	13	1200	Bast	15	30	Heartwood	14	1200	Ochre	10	15	Night Pumice	2	1200	Dreugh Wax	1	20000	10000	65400	66000
Alinor Bed, Noble Full		Epic	Woodworking	Suite	Heartwood	12	1200	Bast	10	30	Decorative Wax	6	750	Culanda Lacquer	2	3500	Mastic	3	1500				5000	35700	36000
