Name	Quality	Category	Resin	Wax	Ochre	Rune	Wood	Regulus	Bast	Pelt	Patch	Mat Sum
Alchemical Apparatus, Condenser	Legendary	Workshop	13.0		9.0			15.0			Elsweyr	37.0
Alchemical Apparatus, Master	Legendary	Workshop	13.0		9.0	11.0		15.0			Dragon Bones	48.0
Alinor Amphora, Delicate	Fine	Hearth		5.0	4.0	5.0					Summerset	14.0
Alinor Amphora, Embossed	Superior	Hearth		7.0				6.0			Summerset	13.0
Alinor Amphora, Portrait	Superior	Hearth		9.0	6.0	5.0					Summerset	20.0
Alinor Amphora, Slender	Epic	Hearth		10.0	7.0	8.0					Summerset	25.0
Alinor Ancestor Clock, Celestial	Legendary	Gallery		9.0	10.0	11.0	15.0				Summerset	45.0
Alinor Archway, Tall	Superior	Structures			5.0	9.0		5.0			Summerset	19.0
Alinor Archway, Timeworn	Superior	Structures	7.0			10.0					Summerset	17.0
Alinor Armchair, Backless Polished	Superior	Dining		6.0			9.0				Summerset	15.0
Alinor Armchair, Backless Verdant	Epic	Dining		7.0			12.0		9.0		Summerset	28.0
Alinor Armchair, Noble	Epic	Dining		9.0	7.0		12.0				Summerset	28.0
Alinor Armchair, Overhang	Epic	Dining		10.0			13.0				Summerset	23.0
Alinor Armchair, Polished	Superior	Dining		6.0			10.0				Summerset	16.0
Alinor Bed, Canopy Full	Epic	Suite		6.0			13.0		11.0		Summerset	30.0
Alinor Bed, Levitating	Legendary	Suite			10.0	13.0	14.0		15.0		Wolfhunter	52.0
Alinor Bed, Noble Full	Epic	Suite		6.0			12.0		10.0		Summerset	28.0
Alinor Bed, Noble Single	Superior	Suite		5.0			10.0		6.0		Summerset	21.0
Alinor Bed, Overhang Full	Epic	Suite		7.0			13.0		10.0		Summerset	30.0
Alinor Bed, Polished Full	Epic	Library		7.0			12.0		9.0		Summerset	28.0
Alinor Bed, Polished Single	Superior	Suite		4.0			9.0		6.0		Summerset	19.0
Alinor Bench, Marble	Superior	Dining	5.0		5.0	9.0					Summerset	19.0
Alinor Bench, Verdant	Epic	Dining		8.0			13.0		9.0		Summerset	30.0
Alinor Bookshelf Wall, Timeworn	Epic	Library	9.0	6.0	6.0	13.0					Summerset	34.0
Alinor Bookshelf, Grand Full	Legendary	Library	13.0	11.0	11.0		15.0				Wolfhunter	50.0
Alinor Bookshelf, Polished	Epic	Library		8.0	6.0	6.0	12.0				Summerset	32.0
Alinor Bowl, Carved Wood	Fine	Hearth				3.0	5.0				Summerset	8.0
Alinor Bowl, Millet	Fine	Hearth		5.0		3.0	5.0				Summerset	13.0
Alinor Bowl, Shallow Limestone	Fine	Courtyard				6.0					Summerset	6.0
Alinor Bowl, Stemmed Limestone	Fine	Courtyard				7.0					Summerset	7.0
Alinor Brazier, Hanging Coals	Superior	Lighting	7.0					10.0			Summerset	17.0
Alinor Brazier, Noble	Epic	Lighting	7.0					10.0			Summerset	17.0
Alinor Brazier, Standing Coals	Superior	Lighting	8.0				12.0	8.0			Summerset	28.0
Alinor Bread Basket, Wrought Iron	Superior	Hearth			6.0			9.0			Summerset	15.0
Alinor Cabinet, Noble	Epic	Hearth		7.0	7.0		12.0	6.0			Summerset	32.0
Alinor Candelabra, Wrought Iron	Epic	Lighting	8.0	8.0				12.0			Summerset	28.0
Alinor Candles, Stand	Superior	Lighting		6.0			9.0				Summerset	15.0
Alinor Candles, Tall Stand	Superior	Lighting		7.0			10.0				Summerset	17.0
Alinor Carpet, Alinor Crescent	Epic	Parlor	8.0	8.0					12.0		Summerset	28.0
Alinor Carpet, Intricate	Fine	Parlor	4.0						7.0		Summerset	11.0
Alinor Carpet, Verdant	Epic	Parlor	9.0	8.0					13.0		Summerset	30.0
Alinor Carpet, Vibrant	Superior	Parlor	5.0	5.0					9.0		Summerset	19.0
